Title,Genre,Runtime,IMDB Score,Language
Enter the Anime,Documentary,58,2.5,English/Japanese
Dark Forces,Thriller,81,2.6,Spanish
The App,Science fiction/Drama,79,2.6,Italian
The Open House,Horror thriller,94,3.2,English
Kaali Khuhi,Mystery,90,3.4,Hindi
Drive,Action,147,3.5,Hindi
Leyla Everlasting,Comedy,112,3.7,Turkish
The Last Days of American Crime,Heist film/Thriller,149,3.7,English
Paradox,Musical/Western/Fantasy,73,3.9,English
Sardar Ka Grandson,Comedy,139,4.1,Hindi
Searching for Sheela,Documentary,58,4.1,English
The Call,Drama,112,4.1,Korean
Whipped,Romantic comedy,97,4.1,Indonesian
All Because of You,Action comedy,101,4.2,Malay
Mercy,Thriller,90,4.2,English
After the Raid,Documentary,25,4.3,Spanish
Ghost Stories,Horror anthology,144,4.3,Hindi
The Last Thing He Wanted,Political thriller,115,4.3,English
What Happened to Mr. Cha?,Comedy,102,4.3,Korean
Death Note,Horror thriller,100,4.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,64,4.4,English
Secret Obsession,Thriller,97,4.4,English
Sextuplets,Comedy,99,4.4,English
The Girl on the Train,Thriller,120,4.4,Hindi
Thunder Force,Superhero-Comedy,105,4.4,English
Fatal Affair,Thriller,89,4.5,English
Just Say Yes,Romantic comedy,97,4.5,Dutch
Seriously Single,Comedy,107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,99,4.5,French
5 Star Christmas,Comedy,95,4.6,Italian
After Maria,Documentary,37,4.6,English/Spanish
I Am the Pretty Thing That Lives in the House,Horror,89,4.6,English
Paris Is Us,Romance drama,83,4.6,French
Porta dos Fundos: The First Temptation of Christ,Comedy,46,4.6,Portuguese
Rattlesnake,Horror,85,4.6,English
The Players,Comedy,88,4.6,Italian
We Are One,Documentary,86,4.6,French
Finding Agnes,Drama,105,4.7,Filipino
IO,Science fiction/Drama,95,4.7,English
Sentinelle,Action,80,4.7,French
Sol Levante,Anime / Short,4,4.7,English
The Binding,Drama,93,4.7,Italian
We Can Be Heroes,Superhero,100,4.7,English
Christmas Crossfire,Thriller,106,4.8,German
Coin Heist,Heist,97,4.8,English
Mrs. Serial Killer,Thriller,106,4.8,Hindi
Nobody Sleeps in the Woods Tonight,Horror,103,4.8,Polish
Take the 10,Comedy,80,4.8,English
The Main Event,Comedy,101,4.8,English
The Ridiculous 6,Western,119,4.8,English
Earth and Blood,Action,80,4.9,French
Fearless,Animation/Superhero,89,4.9,English
Holiday Rush,Family film,94,4.9,English
The Day of the Lord,Drama,93,4.9,Spanish
Airplane Mode,Comedy,96,5,Portuguese
How It Ends,Action-thriller,113,5,English
Love Like the Falling Rain,Drama,86,5,Indonesian
Rebirth,Thriller,100,5,English
Squared Love,Romantic comedy,102,5,Polish
Cadaver,Horror,86,5.1,Norwegian
Clinical,Thriller,104,5.1,English
Coffee & Kareem,Action comedy,88,5.1,English
Dude,Teen comedy-drama,97,5.1,English
Geez & Ann,Romantic drama,105,5.1,Indonesian
The Larva Island Movie,Animation,90,5.1,English
#REALITYHIGH,Comedy,99,5.2,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,10,5.2,English
Desperados,Romantic comedy,106,5.2,English
Dolly Parton's Christmas on the Square,Christmas musical,98,5.2,English
Father of the Year,Comedy,94,5.2,English
Firebrand,Drama,112,5.2,Marathi
Ghost Lab,Horror,117,5.2,Thai
Girlfriend's Day,Comedy,70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,81,5.2,English
Hubie Halloween,Comedy,103,5.2,English
Ibiza,Comedy,94,5.2,English
Rim of the World,Science fiction adventure,98,5.2,English
Sandy Wexler,Comedy,131,5.2,English
See You Yesterday,Science fiction,87,5.2,English
Still Laugh-In: The Stars Celebrate,Variety show,60,5.2,English
"Strip Down, Rise Up",Documentary,112,5.2,English
Tall Girl,Comedy-drama,102,5.2,English
The Beast,Drama,99,5.2,Italian
The Week Of,Comedy,116,5.2,English
A Christmas Prince: The Royal Wedding,Romantic comedy,92,5.3,English
Back to School,Comedy,83,5.3,French
Dangerous Lies,Thriller,97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,112,5.3,Hindi
Intuition,Thriller,116,5.3,Spanish
The Most Assassinated Woman in the World,Thriller,102,5.3,French
Things Heard & Seen,Horror,121,5.3,English
"To Each, Her Own",Romantic comedy,95,5.3,French
Who Would You Take to a Deserted Island?,Drama,93,5.3,Spanish
XOXO,Drama,92,5.3,English
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,98,5.4,English
A Christmas Prince: The Royal Baby,Romantic comedy,85,5.4,English
Despite Everything,Comedy,78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,120,5.4,Hindi
Freaks: You're One of Us,Supernatural drama,92,5.4,German
"Game Over, Man!",Action/Comedy,101,5.4,English
Guilty,Thriller,119,5.4,Hindi
In the Tall Grass,Horror,101,5.4,English
Madame Claude,Drama,112,5.4,French
Naked,Comedy,96,5.4,English
Outside the Wire,Action/Science fiction,114,5.4,English
The Princess Switch: Switched Again,Romantic comedy,97,5.4,English
Under the Riccione Sun,Romantic teenage drama,101,5.4,Italian
A Very Murray Christmas,Comedy / Musical,56,5.5,English
Been So Long,Musical,100,5.5,English
Dead Kids,Thriller,94,5.5,Filipino
Get the Grift,Comedy,94,5.5,Portuguese
Ghosts of Sugar Land,Documentary,21,5.5,English
House Arrest,Comedy,104,5.5,Hindi
Kevin Hart's Guide to Black History,Variety show,63,5.5,English
Love Wedding Repeat,Romantic comedy,100,5.5,English
Mute,Science fiction/Mystery,126,5.5,English
�l�t?r�,Crime drama,106,5.5,English
Red Dot,Thriller,86,5.5,Swedish
Ride or Die,Psychological thriller drama,142,5.5,Japanese
Step Sisters,Comedy,108,5.5,English
The Cloverfield Paradox,Science fiction,102,5.5,English
The Knight Before Christmas,Romantic comedy,92,5.5,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,83,5.5,English
The Package,Black comedy,94,5.5,English
Unicorn Store,Comedy,92,5.5,English
Wine Country,Comedy,103,5.5,English
Bomb Scared,Black comedy,89,5.6,Spanish/Basque
Brahman Naman,Comedy,95,5.6,English
Double Dad,Comedy-drama,103,5.6,Portuguese
Falling Inn Love,Romantic comedy,97,5.6,English
Hold the Dark,Thriller,125,5.6,English
"Love, Guaranteed",Romantic comedy,91,5.6,English
One-Way to Tomorrow,Romance,90,5.6,Turkish
Sarah Cooper: Everything's Fine,Variety show,49,5.6,English
The Last Laugh,Comedy-drama,98,5.6,English
The Last Paradiso,Romantic drama,107,5.6,Italian
The Midnight Sky,Science fiction,118,5.6,English
The Paramedic,Thriller,94,5.6,Spanish
The Sleepover,Comedy,103,5.6,English
Vampires vs. the Bronx,Horror comedy,86,5.6,English
Why Did You Kill Me?,Documentary,83,5.6,English
A Week Away,Christian musical,97,5.7,English
Caught by a Wave,Romantic teen drama,99,5.7,Italian
Christmas Inheritance,Romantic drama,104,5.7,English
Dad Wanted,Family,102,5.7,Spanish
El Camino Christmas,Dark comedy,89,5.7,English
Eli,Horror,98,5.7,English
Ginny Weds Sunny,Romantic comedy,125,5.7,Hindi
Good Sam,Drama,89,5.7,English
Lionheart,Comedy,94,5.7,English
Little Evil,Comedy horror,94,5.7,English
One Take,Documentary,85,5.7,Thai
"Out of Many, One",Documentary,34,5.7,English
Point Blank,Action,86,5.7,English
Prime Time,Thriller,91,5.7,Polish
The Do-Over,Action comedy,108,5.7,English
The Holiday Calendar,Romantic comedy,95,5.7,English
The Woman in the Window,Psychological thriller,100,5.7,English
The Wrong Missy,Comedy,90,5.7,English
Velvet Buzzsaw,Thriller,112,5.7,English
Yes Day,Comedy,86,5.7,English
15-Aug,Comedy-drama,124,5.8,Marathi
A California Christmas,Romantic comedy,107,5.8,English
A Christmas Prince,Romantic comedy,92,5.8,English
All Day and a Night,Drama,121,5.8,English
American Son,Drama,90,5.8,English
Barry,Biopic,104,5.8,English
Candy Jar,Comedy,92,5.8,English
Choked: Paisa Bolta Hai,Drama,114,5.8,Hindi
Class of '83,Drama,98,5.8,Hindi
Extinction,Science fiction/Thriller,95,5.8,English
Happy Anniversary,Romantic comedy,78,5.8,English
I Am All Girls,Thriller,107,5.8,English
Let It Snow,Romantic comedy,92,5.8,English
Mascots,Mockumentary,95,5.8,English
Operation Christmas Drop,Romantic comedy,96,5.8,English
Rajma Chawal,Comedy-drama,118,5.8,Hindi
Rich in Love,Romantic comedy,105,5.8,Portuguese
Rising High,Satire,94,5.8,German
Rodney King,One-man show,52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,105,5.8,English
Small Crimes,Dark comedy,95,5.8,English
Special Correspondents,Satire,100,5.8,English
TAU,Science fiction/Thriller,97,5.8,English
The After Party,Comedy,89,5.8,English
The Babysitter: Killer Queen,Comedy/Horror,102,5.8,English
The Claus Family,Fantasy,96,5.8,Dutch
The Kissing Booth 2,Romantic comedy,131,5.8,English
The Perfect Date,Romantic comedy,89,5.8,English
What We Wanted,Drama,93,5.8,German
You've Got This,Romantic comedy,111,5.8,Spanish
6 Balloons,Drama,75,5.9,English
A Fall from Grace,Thriller,120,5.9,English
Amateur,Sports-drama,96,5.9,English
Army of the Dead,Zombie/Heist,148,5.9,English
Cam,Psychological horror,94,5.9,English
Earthquake Bird,Mystery,107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,32,5.9,English
Horse Girl,Drama,104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,23,5.9,English
Maska,Romantic comedy,111,5.9,Hindi
The Decline,Thriller,83,5.9,French
The Minimalists: Less Is Now,Documentary,53,5.9,English
The Polka King,Comedy-drama,95,5.9,English
The Prom,Musical,132,5.9,English
True Memoirs of an International Assassin,Action comedy,98,5.9,English
Ultras,Sports film,108,5.9,Italian
Come Sunday,Biopic,106,6,English
Forgive Us Our Debts,Drama,104,6,Italian
iBoy,Science fiction/Thriller,90,6,English
Lovefucked,Drama,106,6,Hindi
Juanita,Drama,90,6,English
Murder Mystery,Comedy mystery,97,6,English
Project Power,Superhero,113,6,English
Rebecca,Romantic thriller,123,6,English
The Christmas Chronicles: Part Two,Christmas comedy,115,6,English
The Kissing Booth,Romantic comedy,105,6,English
The Princess Switch,Romantic comedy,101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,102,6,English
War Machine,War-Comedy,122,6,English
6 Underground,Action,128,6.1,English
Between Two Ferns: The Movie,Comedy,82,6.1,English
Burning Sands,Drama,102,6.1,English
Casting JonBenet,Documentary,80,6.1,English
Deidra & Laney Rob a Train,Drama,94,6.1,English
Finding 'Ohana,Family,123,6.1,English
Holidate,Romantic comedy/Holiday,104,6.1,English
Holiday in the Wild,Adventure-romance,85,6.1,English
Hot Girls Wanted,Documentary,84,6.1,English
Like Father,Comedy,103,6.1,English
Lost Girls,Crime drama,95,6.1,English
Otherhood,Comedy,100,6.1,English
Pee-wee's Big Holiday,Adventure,89,6.1,English
Rogue City,Crime drama,116,6.1,French
Sergio,Biopic,118,6.1,English
Stuck Apart,Drama,96,6.1,Turkish
Tersanjung the Movie,Drama,114,6.1,Indonesian
The Killer,Western,99,6.1,Portuguese
The Lovebirds,Romantic comedy,87,6.1,English
The Most Hated Woman in America,Biopic,92,6.1,English
The Perfection,Horror-thriller,90,6.1,English
Tribhanga � Tedhi Medhi Crazy,Drama,95,6.1,Hindi
Unknown Origins,Thriller,96,6.1,Spanish
Work It,Dance comedy,93,6.1,English
Alien Xmas,Stop Motion,42,6.2,English
Baggio: The Divine Ponytail,Biopic,92,6.2,Italian
Below Zero,Drama,106,6.2,Spanish
Citation,Drama,151,6.2,English
Crazy Awesome Teachers,Comedy-drama,101,6.2,Indonesian
Have You Ever Seen Fireflies?,Comedy,114,6.2,Turkish
High Flying Bird,Sports-drama,90,6.2,English
In the Shadow of the Moon,Thriller,115,6.2,English
Lost Bullet,Thriller,92,6.2,French
Octonauts & the Caves of Sac Actun,Animation,72,6.2,English
Offering to the Storm,Thriller,139,6.2,Spanish
Roxanne Roxanne,Biopic,98,6.2,English
Someone Great,Romantic comedy,92,6.2,English
Spenser Confidential,Action comedy,111,6.2,English
The Land of Steady Habits,Drama,98,6.2,English
The Rachel Divide,Documentary,104,6.2,English
Voyuer ,Documentary,95,6.2,English
Win It All,Comedy,88,6.2,English
1922,Horror/Crime drama,102,6.3,English
A Tale of Two Kitchens,Documentary,30,6.3,English/Spanish
Alex Strangelove,Romantic comedy,99,6.3,English
Apostle,Horror-thriller,129,6.3,English
Benji,Family film,87,6.3,English
Bright,Urban fantasy,117,6.3,English
Cargo,Drama/Horror,104,6.3,English
Concrete Cowboy,Drama,111,6.3,English
Feel the Beat,Family/Comedy-drama,107,6.3,English
Get the Goat,Comedy,97,6.3,Portuguese
I Am Not an Easy Man,Romantic comedy,98,6.3,French
June & Kopi,Drama,90,6.3,Indonesian
Music Teacher,Drama,101,6.3,Hindi
Nail Bomber: Manhunt,Documentary,72,6.3,English
Notes for My Son,Drama,83,6.3,Spanish
Polar,Action,118,6.3,English
Porta dos Fundos: The Last Hangover,Comedy,44,6.3,Portuguese
Sand Castle,War,113,6.3,English
Shimmer Lake,Crime thriller,86,6.3,English
Spectral,Science fiction/Action,108,6.3,English
The Babysitter,Teen comedy horror,85,6.3,English
The Discovery,Science fiction/Drama,102,6.3,English
The Forest of Love,Drama,151,6.3,Japanese
The Laundromat,Comedy-drama,98,6.3,English
The Legend of Cocaine Island,Documentary,87,6.3,English
The Outsider,Crime drama,120,6.3,English/Japanese
Time to Hunt,Thriller,134,6.3,Korean
To All the Boys: Always and Forever,Romantic comedy,109,6.3,English
Travis Scott: Look Mom I Can Fly,Documentary,85,6.3,English
Uncorked,Drama,103,6.3,English
Anelka: Misunderstood,Documentary,94,6.4,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,97,6.4,English
ARQ,Science fiction/Thriller,88,6.4,English
Birders,Documentary,37,6.4,English/Spanish
Como Ca�do del Cielo,Musical comedy,112,6.4,Spanish
First Match,Sports-drama,102,6.4,English
Fractured,Thriller,100,6.4,English
Irreplaceable You,Drama,96,6.4,English
Isi & Ossi,Romantic comedy,113,6.4,German
John Was Trying to Contact Aliens,Documentary,16,6.4,English
Layla Majnun,Romantic drama,119,6.4,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,97,6.4,English
My Own Man,Documentary,81,6.4,English
Nappily Ever After,Comedy-drama,98,6.4,English
Over the Moon,Animation/Musical/Adventure,95,6.4,English
Street Flow,Drama,96,6.4,French
Strong Island,Documentary,107,6.4,English
